컬렉션 넘버,마크,카드명,타입,분류,레어도
001/063,I,이상해씨,,기본 포켓몬,C
002/063,I,이상해풀,,1진화 포켓몬,C
003/063,I,메가이상해꽃,,2진화 포켓몬 | 메가진화 ex,RR
004/063,I,아라리,,기본 포켓몬,C
005/063,I,나시,,1진화 포켓몬,U
006/063,I,세레비,,기본 포켓몬,U
007/063,I,도토링,,기본 포켓몬,C
008/063,I,잎새코,,1진화 포켓몬,C
009/063,I,다탱구,,2진화 포켓몬,U
010/063,I,식스테일,,기본 포켓몬,C
011/063,I,나인테일,,1진화 포켓몬,U
012/063,I,둔타,,기본 포켓몬,C
013/063,I,메가폭타,,1진화 포켓몬 | 메가진화 ex,RR
014/063,I,볼케니온,,기본 포켓몬,U
015/063,I,염버니,,기본 포켓몬,C
016/063,I,래비풋,,1진화 포켓몬,C
017/063,I,에이스번,,2진화 포켓몬,R
018/063,I,가재군,,기본 포켓몬,C
019/063,I,모으령,,기본 포켓몬,C
020/063,I,모래두지,,기본 포켓몬,C
021/063,I,고지,,1진화 포켓몬,C
022/063,I,롱스톤,,기본 포켓몬,C
023/063,I,배루키,,기본 포켓몬,C
024/063,I,마크탕,,기본 포켓몬,C
025/063,I,하리뭉,,1진화 포켓몬,R
026/063,I,루나톤,,기본 포켓몬,R
027/063,I,솔록,,기본 포켓몬,U
028/063,I,리오르,,기본 포켓몬,C
029/063,I,메가루카리오,,1진화 포켓몬 | 메가진화 ex,RR
030/063,I,삐딱구리,,기본 포켓몬,C
031/063,I,독개굴,,1진화 포켓몬,C
032/063,I,마샤도,,기본 포켓몬,U
033/063,I,돌헨진,,기본 포켓몬,U
034/063,I,베베솔트,,기본 포켓몬,C
035/063,I,스태솔트,,1진화 포켓몬,C
036/063,I,콜로솔트,,2진화 포켓몬,U
037/063,I,가재장군,,1진화 포켓몬,U
038/063,I,메가앱솔,,기본 포켓몬 | 메가진화 ex,RR
039/063,I,화강돌,,기본 포켓몬,U
040/063,I,이벨타르,,기본 포켓몬,R
041/063,I,훔처우,,기본 포켓몬,C
042/063,I,폭슬라이,,1진화 포켓몬,C
043/063,I,땃주르,,기본 포켓몬,C
044/063,I,태깅구르,,1진화 포켓몬,C
045/063,I,강철톤,,1진화 포켓몬,R
046/063,I,메가입치트,,기본 포켓몬 | 메가진화 ex,RR
047/063,I,디아루가,,기본 포켓몬,R
048/063,I,어리짱,,기본 포켓몬,C
049/063,I,벼리짱,,1진화 포켓몬,C
050/063,I,두드리짱,,2진화 포켓몬,U
051/063,I,타부자고,,1진화 포켓몬,U
052/063,I,깨비참,,기본 포켓몬,C
053/063,I,깨비드릴조,,1진화 포켓몬,C
054/063,I,밀탱크,,기본 포켓몬,C
055/063,I,영구스,,기본 포켓몬,C
056/063,I,형사구스,,1진화 포켓몬,U
057/063,I,벌레회피스프레이,아이템,,U
058/063,I,아이언 디펜드업,아이템,,U
059/063,I,파워프로틴,아이템,,U
060/063,I,파이팅공,아이템,,U
061/063,I,릴리에의 결심,서포트,,U
062/063,I,마티스의 거래,서포트,,U
063/063,I,위험한 폐허,스타디움,,U
064/063,I,이상해씨,,기본 포켓몬,AR
065/063,I,이상해풀,,1진화 포켓몬,AR
066/063,I,나시,,1진화 포켓몬,AR
067/063,I,식스테일,,기본 포켓몬,AR
068/063,I,리오르,,기본 포켓몬,AR
069/063,I,마샤도,,기본 포켓몬,AR
070/063,I,콜로솔트,,2진화 포켓몬,AR
071/063,I,화강돌,,기본 포켓몬,AR
072/063,I,땃주르,,기본 포켓몬,AR
073/063,I,강철톤,,1진화 포켓몬,AR
074/063,I,깨비참,,기본 포켓몬,AR
075/063,I,형사구스,,1진화 포켓몬,AR
076/063,I,메가이상해꽃,,2진화 포켓몬 | 메가진화 ex,SR
077/063,I,메가폭타,,1진화 포켓몬 | 메가진화 ex,SR
078/063,I,메가루카리오,,1진화 포켓몬 | 메가진화 ex,SR
079/063,I,메가앱솔,,기본 포켓몬 | 메가진화 ex,SR
080/063,I,메가입치트,,기본 포켓몬 | 메가진화 ex,SR
081/063,I,밤의 들것,아이템,,SR
082/063,I,파워프로틴,아이템,,SR
083/063,H,파이팅공,아이템,,SR
084/063,I,풍선,포켓몬의 도구,,SR
085/063,I,릴리에의 결심,서포트,,SR
086/063,I,마티스의 거래,서포트,,SR
087/063,I,메가이상해꽃,,2진화 포켓몬 | 메가진화 ex,SAR
088/063,I,메가루카리오,,1진화 포켓몬,SAR
089/063,I,메가앱솔,,기본 포켓몬 | 메가진화 ex,SAR
090/063,I,릴리에의 결심,서포트,,SAR
091/063,I,마티스의 거래,서포트,,SAR
092/063,I,메가루카리오,,1진화 포켓몬 | 메가진화 ex,MUR
