컬렉션 넘버,마크,카드명,타입,분류,레어도
001/063,I,덩쿠리,,기본 포켓몬,C
002/063,I,덩쿠림보,,1진화 포켓몬,U
003/063,I,치코리타,,기본 포켓몬,C
004/063,I,베이리프,,1진화 포켓몬,C
005/063,I,메가니움,,2진화 포켓몬,R
006/063,I,단단지,,기본 포켓몬,U
007/063,I,토중몬,,기본 포켓몬,C
008/063,I,아이스크,,1진화 포켓몬,U
009/063,I,타타륜,,기본 포켓몬,C
010/063,I,레오꼬,,기본 포켓몬,C
011/063,I,화염레오,,1진화 포켓몬,U
012/063,I,태우지네,,기본 포켓몬,C
013/063,I,다태우지네,,1진화 포켓몬,U
014/063,I,위유이,,기본 포켓몬,U
015/063,I,만타인,,기본 포켓몬,C
016/063,I,가이오가,,기본 포켓몬,R
017/063,I,눈쓰개,,기본 포켓몬,R
018/063,I,메가눈설왕,,1진화 포켓몬 | 메가진화 ex,RR
019/063,I,완철포,,기본 포켓몬,C
020/063,I,블로스터,,1진화 포켓몬,R
021/063,I,울머기,,기본 포켓몬,C
022/063,I,누겔레온,,1진화 포켓몬,C
023/063,I,인텔리레온,,2진화 포켓몬,U
024/063,I,누니머기,,기본 포켓몬,C
025/063,I,모스노우,,1진화 포켓몬,U
026/063,I,빙큐보,,기본 포켓몬,C
027/063,I,코일,,기본 포켓몬,C
028/063,I,레어코일,,1진화 포켓몬,C
029/063,I,자포코일,,1진화 포켓몬,U
030/063,I,라이코,,기본 포켓몬,R
031/063,I,썬더라이,,기본 포켓몬,C
032/063,I,메가썬더볼트,,1진화 포켓몬 | 메가진화 ex,RR
033/063,I,파치리스,,기본 포켓몬,C
034/063,I,목도리키텔,,기본 포켓몬,C
035/063,I,일레도리자드,,1진화 포켓몬,C
036/063,I,캐이시,,기본 포켓몬,C
037/063,I,윤겔라,,1진화 포켓몬,U
038/063,I,후딘,,2진화 포켓몬,R
039/063,I,루주라,,기본 포켓몬,C
040/063,I,랄토스,,기본 포켓몬,C
041/063,I,킬리아,,1진화 포켓몬,C
042/063,I,메가가디안,,2진화 포켓몬 | 메가진화 ex,RR
043/063,I,껍질몬,,1진화 포켓몬,U
044/063,I,피그점프,,기본 포켓몬,C
045/063,I,피그킹,,1진화 포켓몬,U
046/063,I,제르네아스,,기본 포켓몬,R
047/063,I,망망이,,기본 포켓몬,C
048/063,I,묘두기,,1진화 포켓몬,U
049/063,I,메가라티아스,,기본 포켓몬 | 메가진화 ex,RR
050/063,I,라티오스,,기본 포켓몬,U
051/063,I,메가캥카,,기본 포켓몬 | 메가진화 ex,RR
052/063,I,딜리버드,,기본 포켓몬,C
053/063,I,이어롤,,기본 포켓몬,C
054/063,I,이어롭,,1진화 포켓몬,C
055/063,I,포곰곰,,기본 포켓몬,C
056/063,I,이븐곰,,1진화 포켓몬,C
057/063,I,괴상한 시계,아이템,,U
058/063,I,메가시그널,아이템,,U
059/063,I,민진의 헤아림,서포트,,U
060/063,I,아세로라의 장난,서포트,,U
061/063,I,미스터리 가든,스타디움,,U
062/063,I,파도타기 비치,스타디움,,U
063/063,I,활력의 숲,스타디움,,U
064/063,I,단단지,,기본 포켓몬,AR
065/063,I,아이스크,,1진화 포켓몬,AR
066/063,I,레오꼬,,기본 포켓몬,AR
067/063,I,눈쓰개,,기본 포켓몬,AR
068/063,I,블로스터,,1진화 포켓몬,AR
069/063,I,인텔리레온,,2진화 포켓몬,AR
070/063,I,목도리키텔,,기본 포켓몬,AR
071/063,I,후딘,,2진화 포켓몬,AR
072/063,I,껍질몬,,1진화 포켓몬,AR
073/063,I,묘두기,,1진화 포켓몬,AR
074/063,I,딜리버드,,기본 포켓몬,AR
075/063,I,포곰곰,,기본 포켓몬,AR
076/063,I,메가눈설왕,,1진화 포켓몬 | 메가진화 ex,SR
077/063,I,메가썬더볼트,,1진화 포켓몬 | 메가진화 ex,SR
078/063,I,메가가디안,,2진화 포켓몬 | 메가진화 ex,SR
079/063,I,메가라티아스,,기본 포켓몬 | 메가진화 ex,SR
080/063,I,메가캥카,,기본 포켓몬 | 메가진화 ex,SR
081/063,H,메가시그널,아이템,,SR
082/063,I,이상한사탕,아이템,,SR
083/063,I,절친 포핀,아이템,,SR
084/063,I,민진의 헤아림,서포트,,SR
085/063,I,아세로라의 장난,서포트,,SR
086/063,I,미스터리 가든,스타디움,,SR
087/063,I,메가가디안,,2진화 포켓몬 | 메가진화 ex,SAR
088/063,I,메가라티아스,,기본 포켓몬 | 메가진화 ex,SAR
089/063,I,메가캥카,,기본 포켓몬 | 메가진화 ex,SAR
090/063,I,민진의 헤아림,서포트,,SAR
091/063,I,아세로라의 장난,서포트,,SAR
092/063,I,메가가디안,,2진화 포켓몬 | 메가진화 ex,MUR
