컬렉션 넘버,마크,카드명,타입,분류,레어도
001/080,J,페이검,,기본 포켓몬,C
002/080,J,아리아도스,,1진화 포켓몬,C
003/080,J,쉐이미,,기본 포켓몬,U
004/080,J,주리비얀,,기본 포켓몬,C
005/080,J,샤비,,1진화 포켓몬,C
006/080,J,샤로다,,2진화 포켓몬,R
007/080,J,분이벌레,,기본 포켓몬,C
008/080,J,분떠도리,,1진화 포켓몬,C
009/080,J,비비용,,2진화 포켓몬,U
010/080,J,나몰빼미,,기본 포켓몬,C
011/080,J,빼미스로우,,1진화 포켓몬,C
012/080,J,모크나이퍼,,2진화 포켓몬 | 포켓몬 ex,RR
013/080,J,불화살빈,,1진화 포켓몬,C
014/080,J,파이어로,,2진화 포켓몬,U
015/080,J,야도뇽,,기본 포켓몬,C
016/080,J,염뉴트,,1진화 포켓몬 | 포켓몬 ex,RR
017/080,J,폭거북스,,기본 포켓몬,U
018/080,J,쥬쥬,,기본 포켓몬,C
019/080,J,쥬레곤,,1진화 포켓몬,R
020/080,J,별가사리,,기본 포켓몬,C
021/080,J,메가아쿠스타,,1진화 포켓몬 | 메가진화 ex,RR
022/080,J,아마루스,,1진화 포켓몬,C
023/080,J,아마루르가,,2진화 포켓몬,U
024/080,J,볼케니온,,기본 포켓몬,U
025/080,J,꼬링크,,기본 포켓몬,C
026/080,J,럭시오,,1진화 포켓몬,U
027/080,J,렌트라,,2진화 포켓몬,R
028/080,J,데덴네,,기본 포켓몬,C
029/080,J,삐삐,,기본 포켓몬,C
030/080,J,메가픽시,,1진화 포켓몬 | 메가진화 ex,RR
031/080,J,입치트,,기본 포켓몬,C
032/080,J,냐스퍼,,기본 포켓몬,C
033/080,J,냐오닉스,,1진화 포켓몬,U
034/080,J,슈쁘,,기본 포켓몬,C
035/080,J,프레프티르,,1진화 포켓몬,U
036/080,J,코코파스,,기본 포켓몬,C
037/080,J,대코파스,,1진화 포켓몬,C
038/080,J,히포포타스,,기본 포켓몬,C
039/080,J,하마돈,,1진화 포켓몬,U
040/080,J,랜드로스,,기본 포켓몬,R
041/080,J,거북손손,,기본 포켓몬,C
042/080,J,거북손데스,,1진화 포켓몬,U
043/080,J,티고라스,,1진화 포켓몬,C
044/080,J,견고라스,,2진화 포켓몬,U
045/080,J,루차볼,,기본 포켓몬,C
046/080,J,메가지가르데,,기본 포켓몬 | 메가진화 ex,RR
047/080,J,고오스,,기본 포켓몬,C
048/080,J,고우스트,,1진화 포켓몬,C
049/080,J,팬텀,,2진화 포켓몬,U
050/080,J,스콜피,,기본 포켓몬,C
051/080,J,드래피온,,1진화 포켓몬,U
052/080,J,이벨타르,,기본 포켓몬 | 포켓몬 ex,RR
053/080,J,파오젠,,기본 포켓몬,R
054/080,J,메가무장조,,기본 포켓몬 | 메가진화 ex,RR
055/080,J,단칼빙,,기본 포켓몬,C
056/080,J,쌍검킬,,1진화 포켓몬,C
057/080,J,킬가르도,,2진화 포켓몬,U
058/080,J,클레피,,기본 포켓몬,C
059/080,J,꼬렛,,기본 포켓몬,C
060/080,J,레트라,,1진화 포켓몬,U
061/080,J,나옹,,기본 포켓몬 | 포켓몬 ex,RR
062/080,J,잠만보,,기본 포켓몬,C
063/080,J,파르빗,,기본 포켓몬,C
064/080,J,파르토,,1진화 포켓몬,U
065/080,J,화살꼬빈,,기본 포켓몬,C
066/080,J,트리미앙,,기본 포켓몬,C
067/080,J,미르갈레트,아이템,,U
068/080,J,에너지탁치기,아이템,,U
069/080,J,오래된 지느러미화석,아이템,,C
070/080,J,오래된 턱화석,아이템,,C
071/080,J,포켓패드,아이템,,U
072/080,J,코어 메모리,포켓몬의 도구,,U
073/080,J,명희의 격려,서포트,,U
074/080,J,유카리,서포트,,U
075/080,J,이노,서포트,,U
076/080,J,타라곤,서포트,,U
077/080,J,미르시티,스타디움,,U
