컬렉션 넘버,마크,카드명,타입,분류,레어도
001/086,I,주리비얀,,기본 포켓몬,C
002/086,I,샤비,,1진화 포켓몬,C
003/086,I,샤로다,,2진화 포켓몬 | 포켓몬 ex,RR
004/086,I,야나프,,기본 포켓몬,C
005/086,I,야나키,,1진화 포켓몬,U
006/086,I,치릴리,,기본 포켓몬,C
007/086,I,드레디어,,1진화 포켓몬,U
008/086,I,마라카치,,기본 포켓몬,C
009/086,I,딱정곤,,기본 포켓몬,C
010/086,I,깜놀버슬,,기본 포켓몬,C
011/086,I,뽀록나,,1진화 포켓몬,U
012/086,I,비크티니,,기본 포켓몬,R
013/086,I,달막화,,기본 포켓몬,C
014/086,I,불비달마,,1진화 포켓몬,U
015/086,I,불켜미,,기본 포켓몬,C
016/086,I,램프라,,1진화 포켓몬,C
017/086,I,샹델라,,2진화 포켓몬,R
018/086,I,활화르바,,기본 포켓몬,C
019/086,I,불카모스,,1진화 포켓몬,R
020/086,I,앗차프,,기본 포켓몬,C
021/086,I,앗차키,,1진화 포켓몬,U
022/086,I,동챙이,,기본 포켓몬,C
023/086,I,두까비,,1진화 포켓몬,C
024/086,I,두빅굴,,2진화 포켓몬,U
025/086,I,프로토가,,기본 포켓몬,U
026/086,I,늑골라,,1진화 포켓몬,R
027/086,I,맘복치,,기본 포켓몬,U
028/086,I,코고미,,기본 포켓몬,C
029/086,I,툰베어,,1진화 포켓몬,R
030/086,I,프리지오,,기본 포켓몬,U
031/086,I,큐레무,,기본 포켓몬 | 포켓몬 ex,RR
032/086,I,에몽가,,기본 포켓몬,C
033/086,I,저리어,,기본 포켓몬,C
034/086,I,저리릴,,1진화 포켓몬,C
035/086,I,저리더프,,2진화 포켓몬,U
036/086,I,볼트로스,,2진화 포켓몬,R
037/086,I,제크로무,,기본 포켓몬 | 포켓몬 ex,RR
038/086,I,몽나,,기본 포켓몬,C
039/086,I,몽얌나,,1진화 포켓몬,U
040/086,I,유니란,,기본 포켓몬,C
041/086,I,듀란,,1진화 포켓몬,C
042/086,I,란쿨루스,,2진화 포켓몬,U
043/086,I,리그레,,기본 포켓몬,C
044/086,I,벰크,,1진화 포켓몬,U
045/086,I,골비람,,기본 포켓몬,C
046/086,I,골루그,,1진화 포켓몬,U
047/086,I,메로엣타,,기본 포켓몬 | 포켓몬 ex,RR
048/086,I,두더류,,기본 포켓몬,C
049/086,I,몰드류,,1진화 포켓몬 | 포켓몬 ex,RR
050/086,I,으랏차,,기본 포켓몬,C
051/086,I,토쇠골,,1진화 포켓몬,C
052/086,I,노보청,,2진화 포켓몬,R
053/086,I,던지미,,기본 포켓몬,U
054/086,I,돌살이,,기본 포켓몬,C
055/086,I,암팰리스,,1진화 포켓몬,U
056/086,I,랜드로스,,기본 포켓몬,R
057/086,I,마디네,,기본 포켓몬,C
058/086,I,휠구,,1진화 포켓몬,C
059/086,I,펜드라,,2진화 포켓몬,U
060/086,I,깜눈크,,기본 포켓몬,C
061/086,I,악비르,,1진화 포켓몬,C
062/086,I,악비아르,,2진화 포켓몬,U
063/086,I,벌차이,,기본 포켓몬,C
064/086,I,버랜지나,,1진화 포켓몬,U
065/086,I,슈바르고,,1진화 포켓몬,U
066/086,I,자망칼,,기본 포켓몬,C
067/086,I,절각참,,1진화 포켓몬,U
068/086,I,코바르온,,기본 포켓몬,R
069/086,I,게노세크트,,기본 포켓몬 | 포켓몬 ex,RR
070/086,I,터검니,,기본 포켓몬,C
071/086,I,액슨도,,1진화 포켓몬,C
072/086,I,액스라이즈,,2진화 포켓몬,R
073/086,I,콩둘기,,기본 포켓몬,C
074/086,I,유토브,,1진화 포켓몬,C
075/086,I,켄호로우,,2진화 포켓몬,U
076/086,I,다부니,,기본 포켓몬,C
077/086,I,치라미,,기본 포켓몬,C
078/086,I,치라치노,,1진화 포켓몬,U
079/086,I,에너지 동전,아이템,,U
080/086,H,오래된 덮개화석,아이템,,C
081/086,I,포켓기어3.0,아이템,,U
082/086,I,풍선,포켓몬의 도구,,U
083/086,I,N의 방안,서포트,,U
084/086,G,박사의 연구 (주박사),서포트,,U
085/086,I,주리,서포트,,U
086/086,I,프리즘 에너지,에너지,,U
087/086,I,주리비얀,,기본 포켓몬,AR
088/086,I,샤비,,1진화 포켓몬,AR
089/086,I,야나프,,기본 포켓몬,AR
090/086,I,야나키,,1진화 포켓몬,AR
091/086,I,치릴리,,기본 포켓몬,AR
092/086,I,드레디어,,1진화 포켓몬,AR
093/086,I,마라카치,,기본 포켓몬,AR
094/086,I,딱정곤,,기본 포켓몬,AR
095/086,I,깜놀버슬,,기본 포켓몬,AR
096/086,I,뽀록나,,1진화 포켓몬,AR
097/086,I,비크티니,,기본 포켓몬,AR
098/086,I,달막화,,기본 포켓몬,AR
099/086,I,불비달마,,1진화 포켓몬,AR
100/086,I,불켜미,,기본 포켓몬,AR
101/086,I,램프라,,1진화 포켓몬,AR
102/086,I,샹델라,,2진화 포켓몬,AR
103/086,I,활화르바,,기본 포켓몬,AR
104/086,I,불카모스,,1진화 포켓몬,AR
105/086,I,앗차프,,기본 포켓몬,AR
106/086,I,앗차키,,1진화 포켓몬,AR
107/086,I,동챙이,,기본 포켓몬,AR
108/086,I,두까비,,1진화 포켓몬,AR
109/086,I,두빅굴,,2진화 포켓몬,AR
110/086,I,프로토가,,기본 포켓몬,AR
111/086,I,늑골라,,1진화 포켓몬,AR
112/086,I,맘복치,,기본 포켓몬,AR
113/086,I,코고미,,기본 포켓몬,AR
