컬렉션 넘버,마크,카드명,타입,분류,레어도
001/086,I,두르보,,기본 포켓몬,C
002/086,I,두르쿤,,1진화 포켓몬,C
003/086,I,모아머,,2진화 포켓몬,U
004/086,I,소미안,,기본 포켓몬,C
005/086,I,엘풍,,1진화 포켓몬,RR
006/086,I,사철록,,기본 포켓몬,C
007/086,I,바라철록,,1진화 포켓몬,U
008/086,I,쪼마리,,기본 포켓몬,C
009/086,I,어지리더,,1진화 포켓몬,U
010/086,I,비리디온,,기본 포켓몬,R
011/086,I,뚜꾸리,,기본 포켓몬,C
012/086,I,차오꿀,,1진화 포켓몬,C
013/086,I,염무왕,,2진화 포켓몬,R
014/086,I,바오프,,기본 포켓몬,U
015/086,I,바오키,,1진화 포켓몬,U
016/086,I,앤티골,,기본 포켓몬,U
017/086,I,레시라무,,기본 포켓몬 | 포켓몬 ex,RR
018/086,I,수댕이,,기본 포켓몬,C
019/086,I,쌍검자비,,1진화 포켓몬,C
020/086,I,대검귀,,2진화 포켓몬,R
021/086,I,배쓰나이,,기본 포켓몬,C
022/086,I,꼬지보리,,기본 포켓몬,C
023/086,I,스완나,,1진화 포켓몬,U
024/086,I,바닐프티,,기본 포켓몬,C
025/086,I,바닐리치,,1진화 포켓몬,C
026/086,I,배바닐라,,2진화 포켓몬,U
027/086,I,케르디오,,기본 포켓몬 | 포켓몬 ex,RR
028/086,I,줄뮤마,,기본 포켓몬,C
029/086,I,제브라이카,,1진화 포켓몬,U
030/086,I,파쪼옥,,기본 포켓몬,C
031/086,I,전툴라,,1진화 포켓몬,C
032/086,I,메더,,2진화 포켓몬,U
033/086,I,또르박쥐,,기본 포켓몬,C
034/086,I,맘박쥐,,1진화 포켓몬,U
035/086,I,심보러,,기본 포켓몬,U
036/086,I,데스마스,,기본 포켓몬,C
037/086,I,데스니칸,,1진화 포켓몬,R
038/086,I,고디탱,,기본 포켓몬,C
039/086,I,고디보미,,1진화 포켓몬,C
040/086,I,고디모아젤,,2진화 포켓몬,R
041/086,I,탱그릴,,기본 포켓몬,C
042/086,I,탱탱겔,,1진화 포켓몬 | 포켓몬 ex,RR
043/086,I,단굴,,기본 포켓몬,C
044/086,I,암트르,,1진화 포켓몬,C
045/086,I,기가이어스,,2진화 포켓몬,U
046/086,I,타격귀,,기본 포켓몬 | 포켓몬 ex,U
047/086,I,아켄,,기본 포켓몬,U
048/086,I,아케오스,,1진화 포켓몬,R
049/086,I,비조푸,,기본 포켓몬,C
050/086,I,비조도,,1진화 포켓몬,U
051/086,I,테라키온,,기본 포켓몬,R
052/086,I,쌔비냥,,기본 포켓몬,C
053/086,I,레파르다스,,1진화 포켓몬,U
054/086,I,곤율랭,,기본 포켓몬,C
055/086,I,곤율거니,,1진화 포켓몬,U
056/086,I,깨봉이,,기본 포켓몬,C
057/086,I,더스트나,,1진화 포켓몬,U
058/086,I,조로아,,기본 포켓몬,C
059/086,I,조로아크,,1진화 포켓몬,R
060/086,I,모노두,,기본 포켓몬,C
061/086,I,디헤드,,1진화 포켓몬,C
062/086,I,삼삼드래,,2진화 포켓몬 | 포켓몬 ex,RR
063/086,I,철시드,,기본 포켓몬,C
064/086,I,너트령,,1진화 포켓몬,U
065/086,I,기어르,,기본 포켓몬,C
066/086,I,기기어르,,1진화 포켓몬,C
067/086,I,기기기어르,,2진화 포켓몬 | 포켓몬 ex,R
068/086,I,아이앤트,,기본 포켓몬,U
069/086,I,크리만,,기본 포켓몬,U
070/086,I,보르쥐,,기본 포켓몬,C
071/086,I,보르그,,1진화 포켓몬,U
072/086,I,요테리,,기본 포켓몬,C
073/086,I,하데리어,,1진화 포켓몬,C
074/086,I,바랜드,,2진화 포켓몬,U
075/086,I,버프론,,기본 포켓몬,RR
076/086,I,수리둥보,,기본 포켓몬,C
077/086,I,워글,,1진화 포켓몬,U
078/086,I,토네로스,,기본 포켓몬,R
079/086,I,에너지 회수,아이템,,U
080/086,I,오래된 깃털화석,아이템,,C
081/086,I,툴스크래퍼,아이템,,U
082/086,I,브레이브뱅글,포켓몬의 도구,,U
083/086,I,어릿광대,서포트,,U
084/086,I,체렌,서포트,,U
085/086,I,투희,서포트,,U
086/086,I,이그니션 에너지,에너지,,U
087/086,I,두르보,,기본 포켓몬,AR
088/086,I,두르쿤,,1진화 포켓몬,AR
089/086,I,모아머,,2진화 포켓몬,AR
090/086,I,소미안,,기본 포켓몬,AR
091/086,I,사철록,,기본 포켓몬,AR
092/086,I,바라철록,,1진화 포켓몬,AR
093/086,I,쪼마리,,기본 포켓몬,AR
094/086,I,어지리더,,1진화 포켓몬,AR
095/086,I,비리디온,,기본 포켓몬,AR
096/086,I,뚜꾸리,,기본 포켓몬,AR
097/086,I,차오꿀,,1진화 포켓몬,AR
098/086,I,염무왕,,2진화 포켓몬,AR
099/086,I,바오프,,기본 포켓몬,AR
100/086,I,바오키,,1진화 포켓몬,AR
101/086,I,앤티골,,기본 포켓몬,AR
102/086,I,수댕이,,기본 포켓몬,AR
103/086,I,쌍검자비,,1진화 포켓몬,AR
104/086,I,대검귀,,2진화 포켓몬,AR
105/086,I,배쓰나이,,기본 포켓몬,AR
106/086,I,꼬지보리,,기본 포켓몬,AR
107/086,I,스완나,,1진화 포켓몬,AR
108/086,I,바닐프티,,기본 포켓몬,AR
109/086,I,바닐리치,,1진화 포켓몬,AR
110/086,I,배바닐라,,2진화 포켓몬,AR
111/086,I,줄뮤마,,기본 포켓몬,AR
112/086,I,제브라이카,,1진화 포켓몬,AR
113/086,I,파쪼옥,,기본 포켓몬,AR
114/086,I,전툴라,,1진화 포켓몬,AR
115/086,I,메더,,기본 포켓몬,AR
116/086,I,또르박쥐,,기본 포켓몬,AR
117/086,I,맘박쥐,,1진화 포켓몬,AR
118/086,I,심보러,,기본 포켓몬,AR
119/086,I,데스마스,,기본 포켓몬,AR
120/086,I,데스니칸,,1진화 포켓몬,AR
121/086,I,고디탱,,기본 포켓몬,AR
122/086,I,고디보미,,1진화 포켓몬,AR
123/086,I,고디모아젤,,2진화 포켓몬,AR
124/086,I,탱그릴,,기본 포켓몬,AR
125/086,I,단굴,,기본 포켓몬,AR
126/086,I,암트르,,1진화 포켓몬,AR
127/086,I,기가이어스,,2진화 포켓몬,AR
128/086,I,타격귀,,기본 포켓몬 | 포켓몬 ex,AR
129/086,I,아켄,,기본 포켓몬,AR
130/086,I,아케오스,,1진화 포켓몬,AR
131/086,I,비조푸,,기본 포켓몬,AR
132/086,I,비조도,,1진화 포켓몬,AR
133/086,I,테라키온,,기본 포켓몬,AR
134/086,I,쌔비냥,,기본 포켓몬,AR
135/086,I,레파르다스,,1진화 포켓몬,AR
136/086,I,곤율랭,,기본 포켓몬,AR
137/086,I,곤율거니,,1진화 포켓몬,AR
138/086,I,깨봉이,,기본 포켓몬,AR
139/086,I,더스트나,,1진화 포켓몬,AR
140/086,I,조로아,,기본 포켓몬,AR
141/086,I,조로아크,,1진화 포켓몬,AR
142/086,I,모노두,,기본 포켓몬,AR
143/086,I,디헤드,,1진화 포켓몬,AR
144/086,I,철시드,,기본 포켓몬,AR
145/086,I,너트령,,1진화 포켓몬,AR
146/086,I,기어르,,기본 포켓몬,AR
147/086,I,기기어르,,1진화 포켓몬,AR
148/086,I,기기기어르,,2진화 포켓몬 | 포켓몬 ex,AR
149/086,I,아이앤트,,기본 포켓몬,AR
150/086,I,크리만,,기본 포켓몬,AR
151/086,I,보르쥐,,기본 포켓몬,AR
152/086,I,보르그,,1진화 포켓몬,AR
153/086,I,요테리,,기본 포켓몬,AR
154/086,I,하데리어,,1진화 포켓몬,AR
155/086,I,바랜드,,2진화 포켓몬,AR
156/086,I,수리둥보,,기본 포켓몬,AR
157/086,I,워글,,1진화 포켓몬,AR
158/086,I,토네로스,,기본 포켓몬,AR
159/086,I,엘풍,,1진화 포켓몬,SR
160/086,I,레시라무,,기본 포켓몬 | 포켓몬 ex,SR
161/086,I,케르디오,,기본 포켓몬 | 포켓몬 ex,SR
162/086,I,탱탱겔,,1진화 포켓몬 | 포켓몬 ex,SR
163/086,I,삼삼드래,,2진화 포켓몬 | 포켓몬 ex,SR
164/086,I,버프론,,기본 포켓몬,SR
165/086,I,어릿광대,서포트,,SR
166/086,I,투희,서포트,,SR
167/086,I,엘풍,,1진화 포켓몬,SAR
168/086,I,레시라무,,기본 포켓몬 | 포켓몬 ex,SAR
169/086,I,케르디오,,기본 포켓몬 | 포켓몬 ex,SAR
170/086,I,탱탱겔,,1진화 포켓몬 | 포켓몬 ex,SAR
171/086,I,삼삼드래,,2진화 포켓몬 | 포켓몬 ex,SAR
172/086,I,버프론,,기본 포켓몬,SAR
173/086,I,투희,서포트,,SAR
174/086,I,레시라무,,기본 포켓몬 | 포켓몬 ex,BWR
