컬렉션 넘버,마크,카드명,타입,분류,레어도
001/066,G,야나프,,기본 포켓몬,C
002/066,G,야나키,,1진화 포켓몬,U
003/066,G,마라카치,,기본 포켓몬,C
004/066,G,돌살이,,기본 포켓몬,C
005/066,G,암팰리스,,1진화 포켓몬,C
006/066,G,달콤아,,기본 포켓몬,C
007/066,G,달무리나,,1진화 포켓몬,U
008/066,G,콩알뚜기,,기본 포켓몬,C
009/066,G,콩알뚜기,,기본 포켓몬,C
010/066,G,마그비,,기본 포켓몬,C
011/066,G,둔타,,기본 포켓몬,C
012/066,G,폭타,,1진화 포켓몬,U
013/066,G,카르본,,기본 포켓몬,C
014/066,G,카르본,,기본 포켓몬,C
015/066,G,카디나르마 ex,,1진화 포켓몬 | 포켓몬 ex,RR
016/066,G,위유이,,기본 포켓몬,R
017/066,G,쏘드라,,기본 포켓몬,C
018/066,G,시드라,,1진화 포켓몬,C
019/066,G,킹드라,,2진화 포켓몬,R
020/066,G,달코퀸 ex,,2진화 포켓몬 | 포켓몬 ex,RR
021/066,G,꼬시레,,기본 포켓몬,C
022/066,G,갑주무사 ex,,1진화 포켓몬 | 포켓몬 ex,RR
023/066,G,바다그다,,기본 포켓몬,C
024/066,G,바다그다,,기본 포켓몬,C
025/066,G,바닥트리오,,1진화 포켓몬,U
026/066,G,가비루사,,기본 포켓몬,U
027/066,G,라티오스,,기본 포켓몬,R
028/066,G,또르박쥐,,기본 포켓몬,C
029/066,G,맘박쥐,,1진화 포켓몬,U
030/066,G,데스마스,,기본 포켓몬,C
031/066,G,데스니칸 ex,,1진화 포켓몬 | 포켓몬 ex,RR
032/066,G,우렁찬꼬리,,기본 포켓몬 | 고대,U
033/066,G,비조푸,,기본 포켓몬,C
034/066,G,비조도,,1진화 포켓몬,U
035/066,G,때때무노,,기본 포켓몬,C
036/066,G,케오퍼스,,1진화 포켓몬,U
037/066,G,베베솔트,,기본 포켓몬,C
038/066,G,베베솔트,,기본 포켓몬,C
039/066,G,스태솔트,,1진화 포켓몬,C
040/066,G,콜로솔트,,2진화 포켓몬,R
041/066,G,땅을기는날개,,기본 포켓몬 | 고대,U
042/066,G,모래털가죽 ex,,기본 포켓몬 | 포켓몬 ex | 고대,RR
043/066,G,딩루,,기본 포켓몬,R
044/066,G,주뱃,,기본 포켓몬,C
045/066,G,골뱃,,1진화 포켓몬,C
046/066,G,크로뱃,,2진화 포켓몬,U
047/066,G,쌔비냥,,기본 포켓몬,C
048/066,G,레파르다스,,1진화 포켓몬,C
049/066,G,깨봉이,,기본 포켓몬,C
050/066,G,더스트나,,1진화 포켓몬,U
051/066,G,모르페코,,기본 포켓몬,R
052/066,G,엑스레그,,1진화 포켓몬,R
053/066,G,사나운버섯,,기본 포켓몬 | 고대,R
054/066,G,고동치는달 ex,,기본 포켓몬 | 포켓몬 ex | 고대,RR
055/066,G,소곤룡,,기본 포켓몬,C
056/066,G,노공룡,,1진화 포켓몬,C
057/066,G,폭음룡,,2진화 포켓몬,U
058/066,G,얼루기,,기본 포켓몬,C
059/066,G,대지의 그릇,아이템 | 고대,,U
060/066,G,잠만보인형,아이템,,U
061/066,G,기술머신 데볼루션,포켓몬의 도구,,U
062/066,G,부스트에너지 고대,포켓몬의 도구 | 고대,,U
063/066,G,오기조끼,포켓몬의 도구,,U
064/066,G,멜로코,서포트,,U
065/066,G,올림박사의 기백,서포트 | 고대,,U
066/066,G,종길,서포트,,U
067/066,G,암팰리스,,1진화 포켓몬,AR
068/066,G,마그비,,기본 포켓몬,AR
069/066,G,꼬시레,,기본 포켓몬,AR
070/066,G,가비루사,,기본 포켓몬,AR
071/066,G,우렁찬꼬리,,기본 포켓몬 | 고대,AR
072/066,G,비조도,,1진화 포켓몬,AR
073/066,G,콜로솔트,,2진화 포켓몬,AR
074/066,G,땅을기는날개,,기본 포켓몬 | 고대,AR
075/066,G,더스트나,,1진화 포켓몬,AR
076/066,G,모르페코,,기본 포켓몬,AR
077/066,G,사나운버섯,,기본 포켓몬 | 고대,AR
078/066,G,노공룡,,1진화 포켓몬,AR
079/066,G,카디나르마 ex,,1진화 포켓몬 | 포켓몬 ex,SR
080/066,G,달코퀸 ex,,2진화 포켓몬 | 포켓몬 ex,SR
081/066,G,갑주무사 ex,,1진화 포켓몬 | 포켓몬 ex,SR
082/066,G,데스니칸 ex,,1진화 포켓몬 | 포켓몬 ex,SR
083/066,G,모래털가죽 ex,,기본 포켓몬 | 포켓몬 ex | 고대,SR
084/066,G,고동치는달 ex,,기본 포켓몬 | 포켓몬 ex | 고대,SR
085/066,G,멜로코,서포트,,SR
086/066,G,올림박사의 기백,서포트 | 고대,,SR
087/066,G,종길,서포트,,SR
088/066,G,갑주무사 ex,,1진화 포켓몬 | 포켓몬 ex,SAR
089/066,G,모래털가죽 ex,,기본 포켓몬 | 포켓몬 ex | 고대,SAR
090/066,G,고동치는달 ex,,기본 포켓몬 | 포켓몬 ex | 고대,SAR
091/066,G,멜로코,서포트,,SAR
092/066,G,올림박사의 기백,서포트 | 고대,,SAR
093/066,G,고동치는달 ex,,기본 포켓몬 | 포켓몬 ex | 고대,UR
094/066,G,럭셔리망토,포켓몬의 도구,,UR
095/066,,기본 악 에너지,기본 에너지,,UR
