컬렉션 넘버,마크,카드명,타입,분류,레어도
001/066,G,비구술,,기본 포켓몬,C
002/066,G,비나방,,1진화 포켓몬,U
003/066,G,두루지벌레,,기본 포켓몬,C
004/066,G,레돔벌레,,1진화 포켓몬,C
005/066,G,이올브,,2진화 포켓몬,U
006/066,G,들눈해,,기본 포켓몬,C
007/066,G,들눈해,,기본 포켓몬,C
008/066,G,육파리,,1진화 포켓몬,U
009/066,G,총지엔,,기본 포켓몬,R
010/066,G,바오프,,기본 포켓몬,C
011/066,G,바오키,,1진화 포켓몬,U
012/066,G,무쇠독나방,,기본 포켓몬 | 미래,R
013/066,G,빈티나,,기본 포켓몬,C
014/066,G,밀로틱,,1진화 포켓몬,R
015/066,G,앗차프,,기본 포켓몬,C
016/066,G,앗차키,,1진화 포켓몬,U
017/066,G,바닐프티,,기본 포켓몬,C
018/066,G,바닐리치,,1진화 포켓몬,C
019/066,G,배바닐라,,2진화 포켓몬,U
020/066,G,무쇠보따리,,기본 포켓몬 | 미래,U
021/066,G,파오젠,,기본 포켓몬,R
022/066,G,에레키드,,기본 포켓몬,C
023/066,G,줄뮤마,,기본 포켓몬,C
024/066,G,제브라이카,,1진화 포켓몬,U
025/066,G,춤추새,,기본 포켓몬,C
026/066,G,일레즌,,기본 포켓몬,C
027/066,G,무쇠손 ex,,기본 포켓몬 | 포켓몬 ex | 미래,RR
028/066,G,치렁,,기본 포켓몬,C
029/066,G,호바귀,,기본 포켓몬,C
030/066,G,펌킨인,,1진화 포켓몬,U
031/066,G,하느라기,,기본 포켓몬,C
032/066,G,하느라기,,기본 포켓몬,C
033/066,G,클레스퍼트라,,1진화 포켓몬,R
034/066,G,어리짱,,기본 포켓몬,C
035/066,G,어리짱,,기본 포켓몬,C
036/066,G,벼리짱,,1진화 포켓몬,C
037/066,G,두드리짱,,2진화 포켓몬,U
038/066,G,무쇠무인 ex,,기본 포켓몬 | 포켓몬 ex | 미래,RR
039/066,G,롱스톤,,기본 포켓몬,C
040/066,G,스트린더 ex,,1진화 포켓몬 | 포켓몬 ex,RR
041/066,G,강철톤,,1진화 포켓몬,R
042/066,G,아이앤트,,기본 포켓몬,U
043/066,G,단칼빙,,기본 포켓몬,C
044/066,G,쌍검킬,,1진화 포켓몬,C
045/066,G,킬가르도 ex,,2진화 포켓몬 | 포켓몬 ex,RR
046/066,G,파비코리 ex,,1진화 포켓몬 | 포켓몬 ex,RR
047/066,G,싸리용,,기본 포켓몬,U
048/066,G,폴리곤,,기본 포켓몬,C
049/066,G,폴리곤2,,1진화 포켓몬,C
050/066,G,폴리곤Z,,2진화 포켓몬,R
051/066,G,에이팜,,기본 포켓몬,C
052/066,G,겟핸보숭,,1진화 포켓몬,U
053/066,G,밀탱크,,기본 포켓몬,C
054/066,G,파비코,,기본 포켓몬,C
055/066,G,두리쥐,,기본 포켓몬,C
056/066,G,두리쥐,,기본 포켓몬,C
057/066,G,파밀리쥐 ex,,1진화 포켓몬 | 포켓몬 ex,RR
058/066,G,무쇠머리,,기본 포켓몬 | 미래,R
059/066,G,카운터 캐처,아이템,,U
060/066,G,테크노레이더,아이템 | 미래,,U
061/066,G,기술머신 에볼루션,포켓몬의 도구,,U
062/066,G,부스트에너지 미래,포켓몬의 도구 | 미래,,U
063/066,G,저주의 먼지떨이,포켓몬의 도구,,U
064/066,G,강석,서포트,,U
065/066,G,리파,서포트,,U
066/066,G,투로박사의 시나리오,서포트 | 미래,,U
067/066,G,레돔벌레,,1진화 포켓몬,AR
068/066,G,육파리,,1진화 포켓몬,AR
069/066,G,무쇠독나방,,기본 포켓몬 | 미래,AR
070/066,G,바닐리치,,1진화 포켓몬,AR
071/066,G,무쇠보따리,,기본 포켓몬 | 미래,AR
072/066,G,줄뮤마,,기본 포켓몬,AR
073/066,G,클레스퍼트라,,1진화 포켓몬,AR
074/066,G,강철톤,,1진화 포켓몬,AR
075/066,G,에이팜,,기본 포켓몬,AR
076/066,G,파비코,,기본 포켓몬,AR
077/066,G,폴리곤Z,,2진화 포켓몬,AR
078/066,G,무쇠머리,,기본 포켓몬 | 미래,AR
079/066,G,무쇠손 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SR
080/066,G,무쇠무인 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SR
081/066,G,스트린더 ex,,1진화 포켓몬 | 포켓몬 ex,SR
082/066,G,킬가르도 ex,,2진화 포켓몬 | 포켓몬 ex,SR
083/066,G,파비코리 ex,,1진화 포켓몬 | 포켓몬 ex,SR
084/066,G,파밀리쥐 ex,,1진화 포켓몬 | 포켓몬 ex,SR
085/066,G,강석,서포트,,SR
086/066,G,리파,서포트,,SR
087/066,G,투로박사의 시나리오,서포트 | 미래,,SR
088/066,G,무쇠손 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SAR
089/066,G,무쇠무인 ex,,기본 포켓몬 | 포켓몬 ex | 미래,SAR
090/066,G,파비코리 ex,,1진화 포켓몬 | 포켓몬 ex,SAR
091/066,G,리파,서포트,,SAR
092/066,G,투로박사의 시나리오,서포트 | 미래,,SAR
093/066,G,무쇠무인 ex,,기본 포켓몬 | 포켓몬 ex | 미래,UR
094/066,G,카운터 캐처,아이템,,UR
095/066,,기본 강철 에너지,기본 에너지,,UR
