컬렉션 넘버,마크,카드명,타입,분류,레어도
001/102,H,레디바,,기본 포켓몬,C
002/102,H,레디안,,1진화 포켓몬,R
003/102,H,릴링,,1진화 포켓몬,C
004/102,H,릴리요,,2진화 포켓몬,U
005/102,H,무스틈니,,기본 포켓몬,C
006/102,H,커트로토무,,기본 포켓몬,C
007/102,H,턱지충이,,기본 포켓몬,C
008/102,H,꼬모카,,기본 포켓몬,C
009/102,H,백솜모카,,1진화 포켓몬,U
010/102,H,과사삭벌레,,기본 포켓몬,C
011/102,H,과미르,,1진화 포켓몬,C
012/102,H,과미드라 ex,,2진화 포켓몬 | 포켓몬 ex,RR
013/102,H,야도뇽,,기본 포켓몬,C
014/102,H,염뉴트,,1진화 포켓몬,U
015/102,H,폭거북스,,기본 포켓몬,C
016/102,H,염버니,,기본 포켓몬,C
017/102,H,래비풋,,1진화 포켓몬,C
018/102,H,에이스번 ex,,2진화 포켓몬 | 포켓몬 ex,RR
019/102,H,라프라스 ex,,기본 포켓몬 | 포켓몬 ex,RR
020/102,H,형광어,,기본 포켓몬,C
021/102,H,네오라이트,,1진화 포켓몬,U
022/102,H,프로토가,,1진화 포켓몬,C
023/102,H,늑골라,,2진화 포켓몬,U
024/102,H,모단단게,,1진화 포켓몬,U
025/102,H,깨물부기,,기본 포켓몬,C
026/102,H,갈가부기,,1진화 포켓몬,R
027/102,H,가비루사,,기본 포켓몬,U
028/102,H,에레브,,기본 포켓몬,C
029/102,H,에레키블,,1진화 포켓몬,U
030/102,H,초라기,,기본 포켓몬,C
031/102,H,랜턴,,1진화 포켓몬,U
032/102,H,파쪼옥,,기본 포켓몬,C
033/102,H,전툴라 ex,,1진화 포켓몬 | 포켓몬 ex,RR
034/102,H,전지충이,,1진화 포켓몬,C
035/102,H,투구뿌논,,2진화 포켓몬,U
036/102,H,토게데마루,,기본 포켓몬,U
037/102,H,제라오라,,기본 포켓몬,R
038/102,H,야돈,,기본 포켓몬,C
039/102,H,야도킹,,1진화 포켓몬,U
040/102,H,흔들풍손,,기본 포켓몬,C
041/102,H,둥실라이드,,1진화 포켓몬,U
042/102,H,큐아링,,기본 포켓몬,C
043/102,H,마빌크,,기본 포켓몬,C
044/102,H,마휘핑,,1진화 포켓몬,U
045/102,H,쫀도기,,기본 포켓몬,C
046/102,H,바우첼 ex,,1진화 포켓몬 | 포켓몬 ex,RR
047/102,H,무쇠암석,,기본 포켓몬,R
048/102,H,탕구리,,기본 포켓몬,C
049/102,H,텅구리,,1진화 포켓몬,U
