컬렉션 넘버,마크,카드명,타입,분류,레어도
001/063,I,심향의 쁘사이저,,기본 포켓몬 | 트레이너의 포켓몬,U
002/063,I,왕자리,,기본 포켓몬,C
003/063,I,메가자리,,1진화 포켓몬 | 포켓몬 ex,RR
004/063,I,난천의 로젤리아,,기본 포켓몬 | 트레이너의 포켓몬,C
005/063,I,난천의 로즈레이드,,1진화 포켓몬 | 트레이너의 포켓몬,R
006/063,I,쉐이미,,기본 포켓몬,U
007/063,I,돌살이,,기본 포켓몬,C
008/063,I,암팰리스,,1진화 포켓몬,R
009/063,I,과사삭벌레,,기본 포켓몬,C
010/063,I,과미르,,1진화 포켓몬,C
011/063,I,과미드라,,2진화 포켓몬,R
012/063,I,오거폰 벽록의 가면,,기본 포켓몬,U
013/063,I,포니타,,기본 포켓몬,C
014/063,I,날쌩마,,1진화 포켓몬,U
015/063,I,심향의 브케인,,기본 포켓몬 | 트레이너의 포켓몬,C
016/063,I,심향의 마그케인,,1진화 포켓몬 | 트레이너의 포켓몬,C
017/063,I,심향의 블레이범,,2진화 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,R
018/063,I,심향의 마그마그,,기본 포켓몬 | 트레이너의 포켓몬,C
019/063,I,심향의 마그카르고,,1진화 포켓몬 | 트레이너의 포켓몬,R
020/063,I,심향의 칠색조,,기본 포켓몬 | 포켓몬 ex | 트레이너의 포켓몬,RR
021/063,I,오거폰 화덕의 가면,,기본 포켓몬,U
022/063,I,이슬의 고라파덕,,기본 포켓몬 | 트레이너의 포켓몬,U
023/063,I,이슬의 별가사리,,기본 포켓몬 | 트레이너의 포켓몬,C
024/063,I,이슬의 아쿠스타,,1진화 포켓몬 | 트레이너의 포켓몬,U
025/063,I,이슬의 잉어킹,,기본 포켓몬 | 트레이너의 포켓몬,C
026/063,I,이슬의 갸라도스,,1진화 포켓몬 | 트레이너의 포켓몬,R
027/063,I,이슬의 라프라스,,기본 포켓몬 | 트레이너의 포켓몬,C
